,Mountain,Metres,Feet,Range,Location,Note,latlng
1428,Mount Aniakchak,1341.0,4400,,"Alaska, US",", Alaska, US","[56.863060000000075, -158.12971999999996]"
1429,Mount Mansfield,1339.0,4393,,"Green Mountains, Vermont, US",", Green Mountains, Vermont, US","[44.543660000000045, -72.81428999999997]"
1430,Cerro de Punta,1338.0,4390,,"Jayuya, Puerto Rico – Highest in Puerto Rico",", Jayuya, Puerto Rico – Highest in Puerto Rico","[22.1714685, -103.9002516]"
1431,Mount Bassie,1311.0,4301,,"Alaska, US",", Alaska, US","[57.05639000000008, -135.04388999999998]"
1432,Ben Macdui,1309.0,4295,,"Scotland, United Kingdom",", Scotland, United Kingdom","[57.07045000000005, -3.668259999999975]"
1433,Mount Kanaga,1307.0,4288,,"Alaska, US",", Alaska, US","[52.216720000000066, -100.73416999999995]"
1434,Sinhagad,1303.0,4275,,"Maharashtra, India",", Maharashtra, India","[25.599745, 84.402717]"
1435,Mount Heng (Hunan),1300.0,4265,,"Hunan, China",", Hunan, China","[39.66667000000007, 113.73333000000002]"
1436,Braeriach,1296.0,4252,,"Scotland, United Kingdom",", Scotland, United Kingdom","[57.07817000000006, -3.728559999999959]"
1437,Rajabasa,1281.0,4203,,"Sumatra, Indonesia",", Sumatra, Indonesia","[-5.8164934, 105.6049942]"
1438,Mount Vesuvius,1281.0,4203,,Italy,", Italy","[46.97718000000003, -111.11688999999996]"
1439,Mount Ophir,1276.0,4186,,"Titiwangsa Mountains, Johor, Malaysia",", Titiwangsa Mountains, Johor, Malaysia","[38.24436000000003, -120.72742999999997]"
1440,Bailadila,1276.0,4186,,India – Highest in Chhattisgarh State,", India – Highest in Chhattisgarh State","[18.638850000000048, 81.25991000000005]"
1441,Mount Wellington,1271.0,4170,,"Tasmania, Australia",", Tasmania, Australia","[42.80535000000003, -74.87320999999997]"
1442,Mount Si,1270.0,4167,,"Washington, US",", Washington, US","[47.50760000000008, -121.74010999999996]"
1443,Mount Qingcheng,1260.0,4134,,"Sichuan, China",", Sichuan, China","[30.96667000000008, 103.51667000000003]"
1444,Detunata,1258.0,4127,,Romania,", Romania","[46.0796005, 23.5555242]"
1445,Mount Donna Buang,1250.0,4101,,"Victoria, Australia",", Victoria, Australia","[-37.70680999999996, 145.68069000000003]"
1446,Kīlauea,1247.0,4091,,"Hawaii, US",", Hawaii, US","[22.2078042, -159.4121354]"
1447,Camel's Hump,1244.0,4081,,"Vermont, US",", Vermont, US","[-37.3862856, 144.5769472]"
1448,Cannon Mountain,1240.0,4068,,"New Hampshire, US",", New Hampshire, US","[33.88288000000006, -86.97749999999996]"
1449,The Priest,1238.0,4062,,"Blue Ridge Mountains, Virginia, US",", Blue Ridge Mountains, Virginia, US","[60.52354888000008, -1.4743879699999525]"
1450,Aonach Beag,1234.0,4049,,"Scotland, United Kingdom",", Scotland, United Kingdom","[56.79970000000003, -4.955519999999979]"
1451,Grouse Mountain,1231.0,4039,,"British Columbia, Canada",", British Columbia, Canada","[51.8827002, -9.3108419]"
1452,Kaʻala,1220.0,4003,,"Oahu, Hawaii, US",", Oahu, Hawaii, US","[20.05087000000003, -155.63570999999996]"
1453,Mount Jerai,1217.0,3993,,"Titiwangsa Mountains, Kedah, Malaysia",", Titiwangsa Mountains, Kedah, Malaysia","[-1.1999999999999318, 111.21667000000008]"
1454,Mount Meron,1208.0,3963,,"Galilee, Israel – Highest in Israel (inside the '67 borders)",", Galilee, Israel – Highest in Israel (inside the '67 borders)","[32.9975045, 35.4144109]"
1455,Mount Fromme,1185.0,3888,,"British Columbia, Canada",", British Columbia, Canada","[47.793420000000026, -123.36211999999995]"
1456,Doi Ian,1174.0,3852,,"Phi Pan Nam Range, Thailand",", Phi Pan Nam Range, Thailand","[19.70294000000007, 100.32531000000006]"
1457,Mount Diablo,1173.0,3848,,"California, US",", California, US","[59.52861000000007, -150.66916999999998]"
1458,Mount Hombori,1155.0,3789,,Mali – Highest in Mali,", Mali – Highest in Mali","[15.25699000000003, -1.6741899999999532]"
1459,Lochnagar,1155.0,3789,,Scotland,", Scotland","[-16.6906695, 31.1720398]"
1460,Bidean nam Bian,1150.0,3773,,Scotland,", Scotland","[56.64314000000007, -5.029239999999959]"
1461,Monte Musinè,1150.0,3773,,"Piedmont, Italy",", Piedmont, Italy","[45.11387000000008, 7.454720000000066]"
1462,Brocken,1141.0,3743,,"Saxony-Anhalt, Germany – Highest mountain in the Harz; highest in Saxony-Anhalt",", Saxony-Anhalt, Germany – Highest mountain in the Harz; highest in Saxony-Anhalt","[53.1394395, 10.0612579]"
1463,Victoria Peak,1120.0,3675,,Belize – 2nd highest mountain in Belize,", Belize – 2nd highest mountain in Belize","[22.273250000000075, 114.14443000000006]"
1464,Gora Sovetskaya,1096.0,3596,,"Wrangel Island, Chukotka – Highest in Wrangel Island",", Wrangel Island, Chukotka – Highest in Wrangel Island","[43.50968000000006, 133.2071400000001]"
1465,Kayser Mountain,1094.0,3589,,"Greenland, Denmark",", Greenland, Denmark","[81.56667000000004, -58.299999999999955]"
1466,Mount Juneau,1090.0,3576,,"Alaska, US",", Alaska, US","[58.31944000000004, -134.40610999999996]"
1467,Snowdon,1085.0,3560,,"Gwynedd, Wales, United Kingdom – Highest in Wales",", Gwynedd, Wales, United Kingdom – Highest in Wales","[39.8786365, -92.9399212]"
1468,Tafelberg,1085.0,3560,,South Africa,", South Africa","[-31.6179004, 25.2401756]"
1469,Flattop Mountain,1070.0,3510,,"Alaska, US",", Alaska, US","[61.09056000000004, -149.66527999999997]"
1470,Uummannaq,1070.0,3510,,Greenland,", Greenland","[70.67442000000005, -52.125449999999944]"
1471,White Butte,1069.0,3507,,"North Dakota, US – Highest in state",", North Dakota, US – Highest in state","[45.940502, -102.362767]"
1472,Hogback Mountain,1059.0,3474,,"Virginia, US",", Virginia, US","[40.88349000000005, -121.99916999999999]"
1473,Liathach,1055.0,3461,,"Torridon, Scotland",", Torridon, Scotland","[57.56140919400008, -5.486507108999945]"
1474,Saka Haphong,1052.0,3451,,"Bandarban, Bangladesh",", Bandarban, Bangladesh","[20.968854, 107.158649]"
1475,Cambirela,1043.0,3422,,"Palhoça, Brazil",", Palhoça, Brazil","[-27.68805999999995, -48.77860999999996]"
1476,Corrán Tuathail,1038.0,3406,,"County Kerry, Ireland – Highest mountain in Ireland",", County Kerry, Ireland – Highest mountain in Ireland","[51.998890000000074, -9.742899999999963]"
1477,Mount Ramon,1037.0,3402,,"Negev, Israel",", Negev, Israel","[30.505576, 34.622747]"
1478,Girnar,1031.0,3383,,"– Gujarat, India",", – Gujarat, India","[20.290161, 73.364377]"
1479,Mount Zagora,1030.0,3379,,Morocco,", Morocco","[38.29133000000007, 22.887730000000033]"
1480,Buachaille Etive Mor,1022.0,3353,,"Glen Etive, Scotland",", Glen Etive, Scotland","[56.63861265700007, -4.921233250999933]"
1481,Munboksan,1015.0,3330,,South Korea,", South Korea","[35.676240000000064, 129.03452000000004]"
1482,Kékes,1014.0,3327,,Hungary – Highest mountain in Hungary,", Hungary – Highest mountain in Hungary","[46.98333000000008, 24.18333000000007]"
1483,Mount Belumut,1010.0,3314,,"Johor, Malaysia",", Johor, Malaysia","[2.042500000000075, 103.56110000000007]"
1484,Old Rag Mountain,1001.0,3284,,"Virginia, US",", Virginia, US","[38.55179000000004, -78.31416999999999]"
1485,Magura Priei,996.0,3268,  ,Romania,", Romania","[39.489624880000065, 140.44851597000002]"
1486,Sgurr Dearg,986.0,3235,Cuillin  ,Scotland,"Cuillin, Scotland","[56.44053000000008, -5.790139999999951]"
1487,Mount Sizer,980.0,3215,Diablo Range  ,US (California),"Diablo Range, US (California)","[37.21383000000003, -121.51354999999995]"
1488,Mount Valin,980.0,3215,Saguenay Lac St-Jean  ,Canada (Québec),"Saguenay Lac St-Jean, Canada (Québec)","[48.61351364800004, -70.74841881599997]"
1489,Hyangnosan,979.0,3212,  ,"Gyeongnam Province, South Korea",", Gyeongnam Province, South Korea","[37.848700000000065, 127.70650000000012]"
1490,Scafell Pike,978.0,3209,Southern Fells  ,England (Cumbria) – Highest in England,"Southern Fells, England (Cumbria) – Highest in England","[54.45583000000005, -3.213329999999928]"
1491,Mount Edgecumbe,976.0,3202,   ,US (Alaska),", US (Alaska)","[57.05114000000003, -135.76006999999998]"
1492,Grand Bonhomme,973.0,3192,  ,Saint Vincent and the Grenadines,", Saint Vincent and the Grenadines","[13.222270000000037, -61.22989999999999]"
1493,North Mountain (Catskills),969.0,3179,Catskill Escarpment  ,US (New York),"Catskill Escarpment, US (New York)","[42.21759000000003, -74.04874999999998]"
1494,Doli Gutta,965.0,3166,Deccan Plateau  ,India – Highest in Telangana State,"Deccan Plateau, India – Highest in Telangana State","[18.34537000000006, 80.75320000000005]"
1495,Mount Monadnock,965.0,3166,  ,US (New Hampshire) – One of the most frequently climbed in the world,", US (New Hampshire) – One of the most frequently climbed in the world","[42.8613847, -72.108082]"
1496,Mount Pirongia,959.0,3146,Hakarimata Range  ,New Zealand,"Hakarimata Range, New Zealand","[-37.99287999999996, 175.09791000000007]"
1497,Tai Mo Shan,957.0,3140,  ,Hong Kong – Highest in Hong Kong,", Hong Kong – Highest in Hong Kong","[22.41077422500007, 114.12262297600012]"
1498,Chimneytop,950.1,3117,Bays Mountain Range  ,"Tennessee, US","Bays Mountain Range, Tennessee, US","[36.4125995, -82.7593254]"
1499,Helvellyn,950.0,3117,Eastern Fells  ,England (Cumbria),"Eastern Fells, England (Cumbria)","[54.528500000000065, -3.0196999999999434]"
1500,Mount Gimie,950.0,3117,  ,Saint Lucia – Highest point,", Saint Lucia – Highest point","[13.863270000000057, -61.01121999999998]"
1501,El Cerro del Aripo,940.0,3084,Northern Range  ,Trinidad and Tobago – Highest point,"Northern Range, Trinidad and Tobago – Highest point","[10.723610000000065, -61.24482999999998]"
1502,El Tucuche,936.0,3071,Northern Range  ,Trinidad and Tobago,"Northern Range, Trinidad and Tobago","[10.739300000000071, -61.41056999999995]"
1503,Lantau Peak,934.0,3064,  ,Hong Kong,", Hong Kong","[22.249330000000043, 113.92000000000007]"
1504,Betlingchhip,930.0,3051,Jampui Hills  ,India – Highest in Tripura,"Jampui Hills, India – Highest in Tripura",
1505,Kaimondake volcano,924.0,3031,  ,"Kagoshima, Japan",", Kagoshima, Japan","[31.18005000000005, 130.52849000000003]"
1506,San Salvatore,912.0,2992,  ,"Ticino, Switzerland",", Ticino, Switzerland","[38.8162195, 16.3394784]"
1507,Pantokrator,906.0,2972,  ,Greece (Corfu),", Greece (Corfu)","[38.9478581, 20.7379297]"
1508,Edinburgh Peak,904.0,2966,  ,"Tristan Da Cunha, UK",", Tristan Da Cunha, UK","[-40.30908999999997, -9.945729999999969]"
1509,Cadair Idris,893.0,2930,  ,Wales,", Wales","[52.69116000000008, -3.910319999999956]"
1510,Pen y Fan,886.0,2907,  ,Wales,", Wales","[51.67603018900007, -4.142132990999926]"
1511,Baekunsan,885.0,2904,  ,"Ulsan, South Korea",", Ulsan, South Korea","[37.49362000000008, 126.51648000000012]"
1512,Mount Gerizim,881.0,2890,  ,West Bank,", West Bank","[31.9842998, 35.1281676]"
1513,Sunset Peak,869.0,2851,  ,Hong Kong,", Hong Kong","[56.37417000000005, -132.51721999999995]"
1514,Mahuli,858.0,2815,  ,"Thane District, Maharashtra, India",", Thane District, Maharashtra, India","[25.037682, 84.560725]"
1515,Mount Taylor,856.0,2808,  ,"Canberra, Australia",", Canberra, Australia","[35.1241466, -107.8074686]"
1516,Slieve Donard,856.0,2808,Mourne Mountains  ,"County Down, Northern Ireland","Mourne Mountains, County Down, Northern Ireland","[54.17962000000006, -5.921289999999942]"
1517,Tinakula,851.0,2792,Tinakula  ,Solomon Islands,"Tinakula, Solomon Islands","[-10.38516999999996, 165.8047600000001]"
1518,Muntele Cetatuia,850.0,2789,  ,Romania,", Romania","[46.5545376, 26.7075439]"
1519,Mount Saint Catherine,840.0,2756,  ,Grenada – Highest Point,", Grenada – Highest Point","[-22.449999999999932, 149.38333000000011]"
1520,Mount Magazine,839.0,2753,Ozark Mountains  ,"Arkansas, US","Ozark Mountains, Arkansas, US","[40.08015100000006, -105.28171799999996]"
1521,Hoemunsan,837.0,2746,  ,"North Jeolla Province, South Korea",", North Jeolla Province, South Korea","[35.507060000000024, 127.11405000000002]"
1522,Bukhansan (Baegundae Peak),836.5,2744,  ,"Seoul, South Korea",", Seoul, South Korea","[37.652960000000064, 126.97175000000004]"
1523,Drocea,836.0,2743,  ,Romania,", Romania","[43.866536926465876, 25.00803603121262]"
1524,Piton de la Petite Rivière Noire,828.0,2717,  ,"Black River Mountain Range, Mauritius",", Black River Mountain Range, Mauritius","[-20.404729999999972, 57.40932000000004]"
1525,Pieter Both (mountain),820.0,2690,  ,Mauritius,", Mauritius","[-20.192159999999944, 57.55558000000008]"
1526,Mount Carleton,817.0,2680,Appalachian Mountains  ,Canada (New Brunswick),"Appalachian Mountains, Canada (New Brunswick)","[47.921290000000056, -117.11408999999998]"
1527,The Cheviot,815.0,2674,Cheviot Hills  ,England (Northumberland),"Cheviot Hills, England (Northumberland)","[55.47846000000004, -2.145439999999951]"
1528,Le Pouce,811.0,2661,  ,Mauritius,", Mauritius","[49.589800000000025, -68.30864999999994]"
1529,Mount Santubong,810.0,2657,  ,Malaysia (Sarawak),", Malaysia (Sarawak)","[1.7446300000000292, 110.33737000000008]"
1530,Gros Morne,807.0,2648,  ,Canada (Newfoundland),", Canada (Newfoundland)","[19.6670602, -72.6704704]"
1531,Clisham,799.0,2621,  ,"Harris, Western Isles, Scotland",", Harris, Western Isles, Scotland","[57.950000000000045, -6.816669999999931]"
1532,Mount Tamalpais,792.0,2598,California Coast Ranges  ,US (California),"California Coast Ranges, US (California)","[37.9291272, -122.5777498]"
1533,Mission Peak,790.0,2592,Diablo Range  ,US (California),"Diablo Range, US (California)","[37.512440000000026, -121.88050999999996]"
1534,Gyemyeongsan,774.0,2539,  ,"North Chungcheong Province, South Korea",", North Chungcheong Province, South Korea","[38.011090000000024, 127.96391000000006]"
1535,Mount Boucherie,758.0,2487,  ,Canada (British Columbia),", Canada (British Columbia)","[49.84978000000007, -119.56908999999996]"
1536,Daeunsan,742.0,2434,  ,South Korea,", South Korea","[35.40262000000007, 129.21369000000004]"
1537,Mount Dobong,740.0,2428,  ,South Korea,", South Korea","[13.2421313, -16.0722065]"
1538,Mount Lofty,727.0,2385,  ,South Australia,", South Australia","[-27.5474426, 151.9656789]"
1539,Ben Cleuch,721.0,2365,  ,Scotland,", Scotland","[56.185688251000045, -3.7694909619999635]"
1540,Corps de Garde,720.0,2362,  ,Mauritius,", Mauritius","[48.85272400000008, -3.1657059999999433]"
1541,Gaseopsan,710.0,2329,  ,"North Chungcheong Province, South Korea",", North Chungcheong Province, South Korea","[36.966800000000035, 127.7056500000001]"
1542,Mount Dick,705.0,2313,  ,"Auckland Islands, New Zealand",", Auckland Islands, New Zealand","[56.58291000000003, -131.25401999999997]"
1543,Piton Savanne,704.0,2310,  ,Mauritius,", Mauritius","[-20.44832999999994, 57.490830000000074]"
1544,Pu‘u ‘Ō‘ō,698.0,2290,  ,US (Hawaii),", US (Hawaii)","[19.386390000000063, -155.10499999999996]"
1545,Signal de Botrange,694.0,2277,High Fens  ,Belgium (Liège) – Highest in Belgium,"High Fens, Belgium (Liège) – Highest in Belgium","[50.5056076, 6.0831734]"
1546,Ishpatina Ridge,690.0,2264,  ,Canada (Ontario),", Canada (Ontario)","[47.31684000000007, -80.73305999999997]"
1547,Curepipe Point,686.0,2251,  ,Mauritius,", Mauritius","[-20.353609999999946, 57.53111000000007]"
1548,Galgisan,685.0,2247,  ,"Gyeonggi Province and Gangwon Province, South Korea",", Gyeonggi Province and Gangwon Province, South Korea","[36.11660000000006, 127.62810000000002]"
1549,Delphi,681.0,2234,  ,Greece (Skopelos),", Greece (Skopelos)","[0.5365961, 31.3565608]"
1550,Qalorujoorneq,676.0,2218,  ,Greenland,", Greenland","[65.56406000000004, -37.08749999999998]"
1551,Lion's Head,669.0,2195,  ,"Cape Town, South Africa",", Cape Town, South Africa","[44.98474600000003, -81.25318199999998]"
1552,Les Trois Mamelles,666.0,2185,  ,Mauritius,", Mauritius","[-20.31021999999996, 57.448330000000055]"
1553,Steling,658.0,2159,High Fens  ,Belgium,"High Fens, Belgium","[34.835314, -82.420965]"
1554,Maple Mountain,642.0,2106,  ,Canada (Ontario),", Canada (Ontario)","[46.395620000000065, -68.03159999999997]"
1555,Mountain Lagrave (Montage Lagrave),638.0,2093,  ,Mauritius,", Mauritius","[45.034586922645644, -0.027519555992251383]"
1556,Kinder Scout,636.0,2087,  ,"Peak District, England – Highest in Peak District",", Peak District, England – Highest in Peak District","[53.38466000000005, -1.8685299999999643]"
1557,Masaya Volcano,635.0,2083,  ,Nicaragua,", Nicaragua","[11.984790000000032, -86.16740999999996]"
1558,Calebasses Mountain (Montagne Calebasses),632.0,2073,  ,Mauritius,", Mauritius","[-20.11204965092029, 57.55909108957821]"
1559,Mount D'Urville,630.0,2067,  ,"Auckland Islands, New Zealand",", Auckland Islands, New Zealand","[-63.50930999999997, -58.19457999999997]"
1560,Moel Eilio,629.0,2064,  ,"Snowdonia, Wales",", Snowdonia, Wales","[53.17548784500008, -3.8757029469999793]"
1561,High Willhays,621.0,2037,  ,England (Dartmoor),", England (Dartmoor)","[50.68506824700006, -4.011118354999951]"
1562,Snaefell,621.0,2037,  ,"Isle of Man, British Isles",", Isle of Man, British Isles","[54.264170000000036, -4.463329999999928]"
1563,Beinn Mhòr,620.0,2034,  ,"South Uist, United Kingdom",", South Uist, United Kingdom","[56.066670000000045, -5.033329999999978]"
1564,Munsusan (Ulsan),600.0,1969,  ,"Ulsan, South Korea",", Ulsan, South Korea","[35.53463000000005, 129.21586000000002]"
1565,Mount Takao,599.0,1965,  ,"Tokyo, Japan",", Tokyo, Japan","[33.41688408700003, 129.97266246700008]"
1566,Piton de Fouge,596.0,1955,  ,Mauritius,", Mauritius","[-20.449999999999932, 57.352220000000045]"
1567,Sikjangsan,596.0,1955,  ,"Daejeon, South Korea",", Daejeon, South Korea","[36.30051000000003, 127.48498000000006]"
1568,Forbordsfjellet,590.0,1936,  ,"Nord-Trøndelag, Norway",", Nord-Trøndelag, Norway","[63.52583000000004, 10.889640000000043]"
1569,Piton du Millieu,589.0,1932,  ,Mauritius,", Mauritius","[-20.2921913, 57.5891149]"
1570,Gwanggyosan,582.0,1909,  ,"Gyeonggi Province, South Korea",", Gyeonggi Province, South Korea","[37.34500000000003, 127.03417000000002]"
1571,Mount Pond,576.0,1890,  ,South Shetland Islands,", South Shetland Islands","[44.89504000000005, -70.64459999999997]"
1572,Mount Tabor,575.0,1886,  ,"Galilee, Israel",", Galilee, Israel","[53.74048646800003, -1.9194744979999427]"
1573,Monte Conero,572.0,1877,  ,Italy (Ancona),", Italy (Ancona)","[43.552400000000034, 13.605110000000025]"
